Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420502400000,20150106,ITRONIC,'9393,,0.170,0.170,0.170,0.170,15000,No change,0
1420588800000,20150107,ITRONIC,'9393,0.170,0.170,0.180,0.165,0.180,348100,Increased,2
1420675200000,20150108,ITRONIC,'9393,0.180,0.170,0.170,0.170,0.170,30000,No change,0
1420761600000,20150109,ITRONIC,'9393,0.170,0.175,0.175,0.170,0.170,113200,Decreased,1
1421020800000,20150112,ITRONIC,'9393,0.170,0.175,0.175,0.170,0.175,84000,No change,0
1421107200000,20150113,ITRONIC,'9393,0.175,0.175,0.180,0.175,0.180,60800,Increased,1
1421193600000,20150114,ITRONIC,'9393,0.180,0.175,0.180,0.175,0.180,134000,Increased,1
1421280000000,20150115,ITRONIC,'9393,0.180,0.175,0.175,0.175,0.175,16000,No change,0
1421366400000,20150116,ITRONIC,'9393,0.175,0.175,0.180,0.175,0.180,20000,Increased,1
1421625600000,20150119,ITRONIC,'9393,0.180,0.175,0.185,0.175,0.185,21400,Increased,2
1421712000000,20150120,ITRONIC,'9393,0.185,0.185,0.185,0.185,0.185,-,Closed,0
1421798400000,20150121,ITRONIC,'9393,0.185,0.185,0.185,0.185,0.185,5000,No change,0
1421884800000,20150122,ITRONIC,'9393,0.185,0.190,0.190,0.185,0.190,53000,No change,0
1421971200000,20150123,ITRONIC,'9393,0.190,0.185,0.190,0.185,0.190,79000,Increased,1
1422230400000,20150126,ITRONIC,'9393,0.190,0.185,0.195,0.185,0.195,6000,Increased,2
1422316800000,20150127,ITRONIC,'9393,0.195,0.195,0.195,0.195,0.195,-,Closed,0
1422403200000,20150128,ITRONIC,'9393,0.195,0.190,0.190,0.190,0.190,20000,No change,0
1422489600000,20150129,ITRONIC,'9393,0.190,0.175,0.175,0.175,0.175,2500,No change,0
1422576000000,20150130,ITRONIC,'9393,0.175,0.180,0.180,0.180,0.180,5000,No change,0
1423008000000,20150204,ITRONIC,'9393,0.180,0.180,0.180,0.180,0.180,-,Closed,0
1423094400000,20150205,ITRONIC,'9393,0.180,0.180,0.180,0.180,0.180,69800,No change,0
1423180800000,20150206,ITRONIC,'9393,0.180,0.190,0.190,0.180,0.180,17300,Decreased,2
1423440000000,20150209,ITRONIC,'9393,0.180,0.175,0.175,0.175,0.175,2000,No change,0
1423526400000,20150210,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,7500,No change,0
1423612800000,20150211,ITRONIC,'9393,0.175,0.180,0.180,0.180,0.180,6000,No change,0
1423699200000,20150212,ITRONIC,'9393,0.180,0.190,0.190,0.190,0.190,9400,No change,0
1423785600000,20150213,ITRONIC,'9393,0.190,0.185,0.190,0.185,0.190,5100,Increased,1
1424044800000,20150216,ITRONIC,'9393,0.190,0.190,0.190,0.190,0.190,-,Closed,0
1424131200000,20150217,ITRONIC,'9393,0.190,0.190,0.190,0.190,0.190,-,Closed,0
1424217600000,20150218,ITRONIC,'9393,0.190,0.175,0.175,0.170,0.170,28000,Decreased,1
1424649600000,20150223,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,-,Closed,0
1424736000000,20150224,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,-,Closed,0
1424822400000,20150225,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,-,Closed,0
1424908800000,20150226,ITRONIC,'9393,0.170,0.175,0.175,0.175,0.175,50000,No change,0
1424995200000,20150227,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1425254400000,20150302,ITRONIC,'9393,0.175,0.175,0.190,0.170,0.190,129800,Increased,3
1425340800000,20150303,ITRONIC,'9393,0.190,0.175,0.175,0.175,0.175,30000,No change,0
1425427200000,20150304,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1425513600000,20150305,ITRONIC,'9393,0.175,0.170,0.170,0.170,0.170,50000,No change,0
1425600000000,20150306,ITRONIC,'9393,0.170,0.165,0.165,0.165,0.165,10000,No change,0
1425859200000,20150309,ITRONIC,'9393,0.165,0.165,0.175,0.165,0.175,30000,Increased,2
1425945600000,20150310,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1426032000000,20150311,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1426118400000,20150312,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1426204800000,20150313,ITRONIC,'9393,0.175,0.170,0.185,0.165,0.185,85500,Increased,3
1426464000000,20150316,ITRONIC,'9393,0.185,0.165,0.165,0.165,0.165,7500,No change,0
1426550400000,20150317,ITRONIC,'9393,0.165,0.165,0.180,0.165,0.180,10100,Increased,3
1426636800000,20150318,ITRONIC,'9393,0.180,0.180,0.180,0.180,0.180,-,Closed,0
1426723200000,20150319,ITRONIC,'9393,0.180,0.170,0.175,0.170,0.170,52500,No change,0
1426809600000,20150320,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,10000,No change,0
1427068800000,20150323,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,10000,No change,0
1427155200000,20150324,ITRONIC,'9393,0.170,0.170,0.170,0.170,0.170,-,Closed,0
1427241600000,20150325,ITRONIC,'9393,0.170,0.170,0.180,0.170,0.180,10100,Increased,2
1427328000000,20150326,ITRONIC,'9393,0.180,0.180,0.180,0.180,0.180,11000,No change,0
1427414400000,20150327,ITRONIC,'9393,0.180,0.180,0.185,0.175,0.180,70100,No change,0
1427673600000,20150330,ITRONIC,'9393,0.180,0.170,0.180,0.170,0.180,59300,Increased,2
1427760000000,20150331,ITRONIC,'9393,0.180,0.170,0.180,0.165,0.180,44900,Increased,2
1427846400000,20150401,ITRONIC,'9393,0.180,0.180,0.180,0.170,0.180,37000,No change,0
1427932800000,20150402,ITRONIC,'9393,0.180,0.180,0.180,0.180,0.180,-,Closed,0
1428019200000,20150403,ITRONIC,'9393,0.180,0.170,0.185,0.170,0.185,48400,Increased,3
1428278400000,20150406,ITRONIC,'9393,0.185,0.170,0.180,0.170,0.175,51300,Increased,1
1428364800000,20150407,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1428451200000,20150408,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1428537600000,20150409,ITRONIC,'9393,0.175,0.170,0.185,0.160,0.180,150400,Increased,2
1428624000000,20150410,ITRONIC,'9393,0.180,0.180,0.180,0.175,0.175,37600,Decreased,1
1428883200000,20150413,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1428969600000,20150414,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,-,Closed,0
1429056000000,20150415,ITRONIC,'9393,0.175,0.170,0.190,0.170,0.175,58800,Increased,1
1429142400000,20150416,ITRONIC,'9393,0.175,0.175,0.175,0.175,0.175,30000,No change,0
