Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,PCHEM,'5183,,5.330,5.390,5.160,5.190,1589700,Decreased,14
1420502400000,20150106,PCHEM,'5183,5.190,5.130,5.130,4.990,5.010,5263300,Decreased,12
1420588800000,20150107,PCHEM,'5183,5.010,4.990,5.050,4.920,4.920,5365000,Decreased,7
1420675200000,20150108,PCHEM,'5183,4.920,4.980,5.040,4.880,4.900,2197700,Decreased,8
1420761600000,20150109,PCHEM,'5183,4.900,4.930,5.060,4.930,5.060,1598600,Increased,13
1421020800000,20150112,PCHEM,'5183,5.060,5.000,5.180,4.970,5.180,922900,Increased,18
1421107200000,20150113,PCHEM,'5183,5.180,5.140,5.140,5.040,5.100,1880800,Decreased,4
1421193600000,20150114,PCHEM,'5183,5.100,5.070,5.140,5.020,5.100,1779500,Increased,3
1421280000000,20150115,PCHEM,'5183,5.100,5.110,5.140,5.020,5.120,2336000,Increased,1
1421366400000,20150116,PCHEM,'5183,5.120,5.120,5.120,5.020,5.050,2601400,Decreased,7
1421625600000,20150119,PCHEM,'5183,5.050,5.060,5.090,5.000,5.000,3831000,Decreased,6
1421712000000,20150120,PCHEM,'5183,5.000,5.000,5.040,4.940,4.940,4935700,Decreased,6
1421798400000,20150121,PCHEM,'5183,4.940,4.980,5.110,4.980,5.110,2853800,Increased,13
1421884800000,20150122,PCHEM,'5183,5.110,5.060,5.340,5.060,5.290,3003200,Increased,23
1421971200000,20150123,PCHEM,'5183,5.290,5.320,5.510,5.320,5.510,3195400,Increased,19
1422230400000,20150126,PCHEM,'5183,5.510,5.490,5.490,5.250,5.350,979500,Decreased,14
1422316800000,20150127,PCHEM,'5183,5.350,5.280,5.600,5.260,5.550,2088600,Increased,27
1422403200000,20150128,PCHEM,'5183,5.550,5.370,5.460,5.320,5.320,3563600,Decreased,5
1422489600000,20150129,PCHEM,'5183,5.320,5.360,5.390,5.120,5.130,3009100,Decreased,23
1422576000000,20150130,PCHEM,'5183,5.130,5.200,5.260,5.100,5.100,2466700,Decreased,10
1423008000000,20150204,PCHEM,'5183,5.100,5.290,5.410,5.280,5.300,5765500,Increased,1
1423094400000,20150205,PCHEM,'5183,5.300,5.300,5.350,5.210,5.290,2197300,Decreased,1
1423180800000,20150206,PCHEM,'5183,5.290,5.320,5.330,5.220,5.240,2541100,Decreased,8
1423440000000,20150209,PCHEM,'5183,5.240,5.220,5.280,5.150,5.260,3439900,Increased,4
1423526400000,20150210,PCHEM,'5183,5.260,5.290,5.300,5.210,5.220,2188900,Decreased,7
1423612800000,20150211,PCHEM,'5183,5.220,5.280,5.290,5.230,5.240,1527800,Decreased,4
1423699200000,20150212,PCHEM,'5183,5.240,5.260,5.280,5.230,5.270,1850200,Increased,1
1423785600000,20150213,PCHEM,'5183,5.270,5.280,5.310,5.270,5.300,1591700,Increased,2
1424044800000,20150216,PCHEM,'5183,5.300,5.300,5.380,5.300,5.340,3212400,Increased,4
1424131200000,20150217,PCHEM,'5183,5.340,5.340,5.340,5.320,5.340,2745900,No change,0
1424217600000,20150218,PCHEM,'5183,5.340,5.350,5.400,5.340,5.390,1109800,Increased,4
1424649600000,20150223,PCHEM,'5183,5.390,5.460,5.570,5.450,5.510,4890500,Increased,5
1424736000000,20150224,PCHEM,'5183,5.510,5.510,5.550,5.480,5.510,3796500,No change,0
1424822400000,20150225,PCHEM,'5183,5.510,5.500,5.530,5.500,5.510,3647500,Increased,1
1424908800000,20150226,PCHEM,'5183,5.510,5.520,5.530,5.490,5.500,3171800,Decreased,2
1424995200000,20150227,PCHEM,'5183,5.500,5.500,5.530,5.450,5.470,4883400,Decreased,3
1425254400000,20150302,PCHEM,'5183,5.470,5.400,5.550,5.400,5.500,3452100,Increased,10
1425340800000,20150303,PCHEM,'5183,5.500,5.510,5.510,5.370,5.450,1983400,Decreased,6
1425427200000,20150304,PCHEM,'5183,5.450,5.490,5.510,5.450,5.510,3234600,Increased,2
1425513600000,20150305,PCHEM,'5183,5.510,5.430,5.520,5.380,5.390,2584400,Decreased,4
1425600000000,20150306,PCHEM,'5183,5.390,5.390,5.410,5.280,5.280,3093200,Decreased,11
1425859200000,20150309,PCHEM,'5183,5.280,5.270,5.330,5.110,5.210,3006500,Decreased,6
1425945600000,20150310,PCHEM,'5183,5.210,5.300,5.300,5.150,5.150,2238300,Decreased,15
1426032000000,20150311,PCHEM,'5183,5.150,5.120,5.150,5.080,5.090,2589700,Decreased,3
1426118400000,20150312,PCHEM,'5183,5.090,5.140,5.180,5.070,5.080,3108000,Decreased,6
1426204800000,20150313,PCHEM,'5183,5.080,5.110,5.150,5.060,5.060,1940500,Decreased,5
1426464000000,20150316,PCHEM,'5183,5.060,5.060,5.080,5.040,5.040,2325400,Decreased,2
1426550400000,20150317,PCHEM,'5183,5.040,5.040,5.110,5.040,5.050,1991500,Increased,1
1426636800000,20150318,PCHEM,'5183,5.050,5.050,5.150,5.020,5.080,3623900,Increased,3
1426723200000,20150319,PCHEM,'5183,5.080,5.100,5.250,5.070,5.200,1853100,Increased,10
1426809600000,20150320,PCHEM,'5183,5.200,5.190,5.190,5.120,5.120,3103900,Decreased,7
1427068800000,20150323,PCHEM,'5183,5.120,5.150,5.390,5.150,5.340,2356400,Increased,19
1427155200000,20150324,PCHEM,'5183,5.340,5.360,5.590,5.310,5.550,1880700,Increased,19
1427241600000,20150325,PCHEM,'5183,5.550,5.500,5.560,5.460,5.500,2601600,No change,0
1427328000000,20150326,PCHEM,'5183,5.500,5.500,5.510,5.430,5.430,666400,Decreased,7
1427414400000,20150327,PCHEM,'5183,5.430,5.430,5.540,5.390,5.480,2100000,Increased,5
1427673600000,20150330,PCHEM,'5183,5.480,5.510,5.600,5.490,5.600,2191000,Increased,9
1427760000000,20150331,PCHEM,'5183,5.600,5.600,5.660,5.520,5.640,3088100,Increased,4
1427846400000,20150401,PCHEM,'5183,5.640,5.660,5.660,5.530,5.600,1368900,Decreased,6
1427932800000,20150402,PCHEM,'5183,5.600,5.490,5.650,5.490,5.560,2251800,Increased,7
1428019200000,20150403,PCHEM,'5183,5.560,5.600,5.610,5.510,5.560,951600,Decreased,4
1428278400000,20150406,PCHEM,'5183,5.560,5.560,5.630,5.550,5.550,1930700,Decreased,1
1428364800000,20150407,PCHEM,'5183,5.550,5.560,5.610,5.550,5.570,2645500,Increased,1
1428451200000,20150408,PCHEM,'5183,5.570,5.590,5.610,5.520,5.580,2603600,Decreased,1
1428537600000,20150409,PCHEM,'5183,5.580,5.530,5.600,5.530,5.600,2416500,Increased,7
1428624000000,20150410,PCHEM,'5183,5.600,5.620,5.640,5.560,5.640,1821200,Increased,2
1428883200000,20150413,PCHEM,'5183,5.640,5.640,5.710,5.640,5.700,992200,Increased,6
1428969600000,20150414,PCHEM,'5183,5.700,5.650,5.750,5.510,5.700,1342200,Increased,5
1429056000000,20150415,PCHEM,'5183,5.700,5.650,5.750,5.650,5.730,1913200,Increased,8
1429142400000,20150416,PCHEM,'5183,5.730,5.690,5.800,5.660,5.760,1694800,Increased,7
1429228800000,20150417,PCHEM,'5183,5.760,5.800,5.800,5.720,5.760,1225800,Decreased,4
1429488000000,20150420,PCHEM,'5183,5.760,5.760,5.770,5.720,5.760,1160200,No change,0
1429574400000,20150421,PCHEM,'5183,5.760,5.760,6.110,5.760,6.040,6128600,Increased,28
1429660800000,20150422,PCHEM,'5183,6.040,6.040,6.110,6.010,6.050,2687800,Increased,1
1429747200000,20150423,PCHEM,'5183,6.050,5.830,6.050,5.830,5.960,1155900,Increased,13
1429833600000,20150424,PCHEM,'5183,5.960,5.980,6.300,5.980,6.210,3366500,Increased,23
1430092800000,20150427,PCHEM,'5183,6.210,6.200,6.280,6.180,6.260,4451100,Increased,6
1430179200000,20150428,PCHEM,'5183,6.260,6.140,6.300,6.140,6.230,3277300,Increased,9
1430265600000,20150429,PCHEM,'5183,6.230,6.230,6.240,6.080,6.080,4841100,Decreased,15
1430352000000,20150430,PCHEM,'5183,6.080,6.080,6.080,5.750,5.870,5179300,Decreased,21
1430784000000,20150505,PCHEM,'5183,5.870,6.040,6.080,5.900,6.000,2093500,Decreased,4
1430870400000,20150506,PCHEM,'5183,6.000,5.960,5.960,5.820,5.830,1602300,Decreased,13
1430956800000,20150507,PCHEM,'5183,5.830,5.830,5.890,5.830,5.850,1898700,Increased,2
1431043200000,20150508,PCHEM,'5183,5.850,5.810,5.900,5.810,5.860,3992100,Increased,5
1431302400000,20150511,PCHEM,'5183,5.860,5.860,5.890,5.850,5.860,963000,No change,0
1431388800000,20150512,PCHEM,'5183,5.860,5.830,5.870,5.830,5.850,933100,Increased,2
1431475200000,20150513,PCHEM,'5183,5.850,5.920,5.990,5.820,5.990,2696800,Increased,7
1431561600000,20150514,PCHEM,'5183,5.990,5.990,6.240,5.990,6.160,5892800,Increased,17
1431648000000,20150515,PCHEM,'5183,6.160,6.200,6.330,6.020,6.330,3217600,Increased,13
1431907200000,20150518,PCHEM,'5183,6.330,6.320,6.350,6.250,6.340,4373100,Increased,2
1431993600000,20150519,PCHEM,'5183,6.340,6.340,6.340,6.250,6.290,4383100,Decreased,5
1432080000000,20150520,PCHEM,'5183,6.290,6.290,6.290,6.120,6.210,3077700,Decreased,8
1432166400000,20150521,PCHEM,'5183,6.210,6.230,6.280,6.150,6.200,3592000,Decreased,3
1432252800000,20150522,PCHEM,'5183,6.200,6.180,6.370,6.180,6.250,4339000,Increased,7
1432512000000,20150525,PCHEM,'5183,6.250,6.200,6.260,6.200,6.240,601900,Increased,4
1432598400000,20150526,PCHEM,'5183,6.240,6.200,6.300,6.120,6.230,3075800,Increased,3
1432684800000,20150527,PCHEM,'5183,6.230,6.200,6.260,6.200,6.240,3289700,Increased,4
1432771200000,20150528,PCHEM,'5183,6.240,6.240,6.300,6.200,6.260,2796800,Increased,2
1432857600000,20150529,PCHEM,'5183,6.260,6.030,6.310,6.030,6.260,5960100,Increased,23
1433116800000,20150601,PCHEM,'5183,6.260,6.270,6.270,6.130,6.260,3075300,Decreased,1
1433203200000,20150602,PCHEM,'5183,6.260,6.270,6.280,6.170,6.270,2847800,No change,0
1433289600000,20150603,PCHEM,'5183,6.270,6.220,6.340,6.200,6.340,2548000,Increased,12
1433376000000,20150604,PCHEM,'5183,6.340,6.320,6.480,6.210,6.210,3079200,Decreased,11
1433462400000,20150605,PCHEM,'5183,6.210,6.230,6.260,6.170,6.240,1268600,Increased,1
1433721600000,20150608,PCHEM,'5183,6.240,6.180,6.290,6.160,6.230,1504500,Increased,5
1433808000000,20150609,PCHEM,'5183,6.230,6.180,6.200,6.130,6.180,1262200,No change,0
1433894400000,20150610,PCHEM,'5183,6.180,6.200,6.240,6.140,6.190,2843800,Decreased,1
1433980800000,20150611,PCHEM,'5183,6.190,6.240,6.290,6.190,6.250,2430100,Increased,1
1434067200000,20150612,PCHEM,'5183,6.250,6.300,6.300,6.200,6.200,1516800,Decreased,10
1434326400000,20150615,PCHEM,'5183,6.200,6.220,6.240,6.080,6.080,1441700,Decreased,14
1434412800000,20150616,PCHEM,'5183,6.080,6.120,6.120,6.060,6.100,983700,Decreased,2
1434499200000,20150617,PCHEM,'5183,6.100,6.120,6.120,6.070,6.070,1508400,Decreased,5
1434585600000,20150618,PCHEM,'5183,6.070,6.080,6.080,5.980,6.000,1726900,Decreased,8
1434672000000,20150619,PCHEM,'5183,6.000,6.060,6.110,6.000,6.010,3103600,Decreased,5
1434931200000,20150622,PCHEM,'5183,6.010,6.010,6.140,6.010,6.090,1750200,Increased,8
1435017600000,20150623,PCHEM,'5183,6.090,6.180,6.200,6.080,6.100,1415600,Decreased,8
1435104000000,20150624,PCHEM,'5183,6.100,6.130,6.320,6.110,6.320,3091800,Increased,19
1435190400000,20150625,PCHEM,'5183,6.320,6.290,6.310,6.210,6.290,2837200,No change,0
1435276800000,20150626,PCHEM,'5183,6.290,6.270,6.270,6.150,6.250,674600,Decreased,2
1435536000000,20150629,PCHEM,'5183,6.250,6.160,6.200,6.060,6.080,2831500,Decreased,8
1435622400000,20150630,PCHEM,'5183,6.080,6.140,6.330,6.080,6.320,4979400,Increased,18
1435708800000,20150701,PCHEM,'5183,6.320,6.300,6.440,6.300,6.360,3825800,Increased,6
1435795200000,20150702,PCHEM,'5183,6.360,6.290,6.470,6.290,6.410,3411500,Increased,12
1435881600000,20150703,PCHEM,'5183,6.410,6.460,6.460,6.340,6.410,1529000,Decreased,5
1436140800000,20150706,PCHEM,'5183,6.410,6.420,6.420,6.240,6.400,2367900,Decreased,2
1436227200000,20150707,PCHEM,'5183,6.400,6.440,6.440,6.050,6.070,3901900,Decreased,37
1436313600000,20150708,PCHEM,'5183,6.070,6.090,6.100,5.910,6.060,5107000,Decreased,3
1436400000000,20150709,PCHEM,'5183,6.060,6.030,6.140,5.960,6.030,3547100,No change,0
1436486400000,20150710,PCHEM,'5183,6.030,6.040,6.290,6.040,6.200,3489800,Increased,16
1436745600000,20150713,PCHEM,'5183,6.200,6.180,6.390,6.180,6.350,2145000,Increased,17
1436832000000,20150714,PCHEM,'5183,6.350,6.390,6.390,6.300,6.380,2268700,Decreased,1
1436918400000,20150715,PCHEM,'5183,6.380,6.370,6.380,6.360,6.380,4231800,Increased,1
1437004800000,20150716,PCHEM,'5183,6.380,6.380,6.400,6.380,6.400,1681800,Increased,2
1437350400000,20150720,PCHEM,'5183,6.400,6.400,6.450,6.310,6.420,2054700,Increased,2
1437436800000,20150721,PCHEM,'5183,6.420,6.350,6.600,6.350,6.600,5005300,Increased,25
1437523200000,20150722,PCHEM,'5183,6.600,6.520,6.640,6.510,6.580,3410500,Increased,6
1437609600000,20150723,PCHEM,'5183,6.580,6.400,6.570,6.400,6.440,2963200,Increased,4
1437696000000,20150724,PCHEM,'5183,6.440,6.390,6.440,6.300,6.330,1840400,Decreased,6
1437955200000,20150727,PCHEM,'5183,6.330,6.260,6.410,6.250,6.350,4119300,Increased,9
1438041600000,20150728,PCHEM,'5183,6.350,6.400,6.490,6.360,6.380,6897300,Decreased,2
1438128000000,20150729,PCHEM,'5183,6.380,6.400,6.450,6.370,6.380,3412100,Decreased,2
1438214400000,20150730,PCHEM,'5183,6.380,6.380,6.410,6.380,6.390,2492000,Increased,1
1438300800000,20150731,PCHEM,'5183,6.390,6.400,6.420,6.390,6.410,3344500,Increased,1
1438560000000,20150803,PCHEM,'5183,6.410,6.300,6.490,6.300,6.490,2304100,Increased,19
1438646400000,20150804,PCHEM,'5183,6.490,6.490,6.490,6.410,6.430,2633400,Decreased,6
1438732800000,20150805,PCHEM,'5183,6.430,6.450,6.550,6.430,6.440,3140800,Decreased,1
