Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,TAMBUN,'5191,,1.600,1.600,1.520,1.530,736100,Decreased,7
1420502400000,20150106,TAMBUN,'5191,1.530,1.530,1.530,1.470,1.500,946000,Decreased,3
1420588800000,20150107,TAMBUN,'5191,1.500,1.500,1.560,1.480,1.560,716800,Increased,6
1420675200000,20150108,TAMBUN,'5191,1.560,1.560,1.670,1.560,1.670,1581400,Increased,11
1420761600000,20150109,TAMBUN,'5191,1.670,1.700,1.750,1.690,1.730,1894100,Increased,3
1421020800000,20150112,TAMBUN,'5191,1.730,1.720,1.720,1.700,1.700,757200,Decreased,2
1421107200000,20150113,TAMBUN,'5191,1.700,1.700,1.700,1.680,1.680,572700,Decreased,2
1421193600000,20150114,TAMBUN,'5191,1.680,1.680,1.680,1.590,1.600,1081800,Decreased,8
1421280000000,20150115,TAMBUN,'5191,1.600,1.620,1.640,1.580,1.580,1678500,Decreased,4
1421366400000,20150116,TAMBUN,'5191,1.580,1.590,1.640,1.550,1.640,2143100,Increased,5
1421625600000,20150119,TAMBUN,'5191,1.640,1.670,1.690,1.650,1.680,1285500,Increased,1
1421712000000,20150120,TAMBUN,'5191,1.680,1.680,1.710,1.660,1.680,527500,No change,0
1421798400000,20150121,TAMBUN,'5191,1.680,1.680,1.700,1.670,1.690,801400,Increased,1
1421884800000,20150122,TAMBUN,'5191,1.690,1.700,1.830,1.700,1.810,1962800,Increased,11
1421971200000,20150123,TAMBUN,'5191,1.810,1.830,1.850,1.760,1.770,1109300,Decreased,6
1422230400000,20150126,TAMBUN,'5191,1.770,1.790,1.970,1.790,1.940,3454800,Increased,15
1422316800000,20150127,TAMBUN,'5191,1.940,1.960,1.990,1.910,1.990,1373900,Increased,3
1422403200000,20150128,TAMBUN,'5191,1.990,1.950,1.950,1.900,1.930,795400,Decreased,2
1422489600000,20150129,TAMBUN,'5191,1.930,1.940,1.940,1.870,1.890,1268900,Decreased,5
1422576000000,20150130,TAMBUN,'5191,1.890,1.870,1.880,1.840,1.860,458900,Decreased,1
1423008000000,20150204,TAMBUN,'5191,1.860,1.880,1.910,1.870,1.900,575600,Increased,2
1423094400000,20150205,TAMBUN,'5191,1.900,1.890,1.920,1.890,1.910,257000,Increased,2
1423180800000,20150206,TAMBUN,'5191,1.910,1.920,1.950,1.910,1.940,595900,Increased,2
1423440000000,20150209,TAMBUN,'5191,1.940,1.890,1.940,1.890,1.930,286900,Increased,4
1423526400000,20150210,TAMBUN,'5191,1.930,1.930,1.970,1.910,1.930,786500,No change,0
1423612800000,20150211,TAMBUN,'5191,1.930,1.920,1.930,1.920,1.930,592400,Increased,1
1423699200000,20150212,TAMBUN,'5191,1.930,1.920,1.920,1.840,1.840,484000,Decreased,8
1423785600000,20150213,TAMBUN,'5191,1.840,1.850,1.910,1.850,1.900,601700,Increased,5
1424044800000,20150216,TAMBUN,'5191,1.900,1.890,1.940,1.890,1.940,332600,Increased,5
1424131200000,20150217,TAMBUN,'5191,1.940,1.920,1.940,1.920,1.940,235300,Increased,2
1424217600000,20150218,TAMBUN,'5191,1.940,1.910,1.930,1.910,1.930,17300,Increased,2
1424649600000,20150223,TAMBUN,'5191,1.930,1.930,1.930,1.900,1.900,52800,Decreased,3
1424736000000,20150224,TAMBUN,'5191,1.900,1.900,1.900,1.880,1.900,82000,No change,0
1424822400000,20150225,TAMBUN,'5191,1.900,1.890,1.900,1.880,1.880,123500,Decreased,1
1424908800000,20150226,TAMBUN,'5191,1.880,1.890,1.910,1.870,1.910,249700,Increased,2
1424995200000,20150227,TAMBUN,'5191,1.910,1.900,1.900,1.870,1.870,273500,Decreased,3
1425254400000,20150302,TAMBUN,'5191,1.870,1.870,1.880,1.840,1.880,338500,Increased,1
1425340800000,20150303,TAMBUN,'5191,1.880,1.860,1.860,1.830,1.850,285600,Decreased,1
1425427200000,20150304,TAMBUN,'5191,1.850,1.820,1.840,1.780,1.780,199900,Decreased,4
1425513600000,20150305,TAMBUN,'5191,1.780,1.780,1.780,1.730,1.780,586900,No change,0
1425600000000,20150306,TAMBUN,'5191,1.780,1.780,1.800,1.770,1.790,99600,Increased,1
1425859200000,20150309,TAMBUN,'5191,1.790,1.770,1.790,1.770,1.780,94200,Increased,1
1425945600000,20150310,TAMBUN,'5191,1.780,1.780,1.870,1.780,1.860,333000,Increased,8
1426032000000,20150311,TAMBUN,'5191,1.860,1.850,1.880,1.820,1.880,176300,Increased,3
1426118400000,20150312,TAMBUN,'5191,1.880,1.860,1.870,1.840,1.860,160500,No change,0
1426204800000,20150313,TAMBUN,'5191,1.860,1.850,1.850,1.840,1.840,80400,Decreased,1
1426464000000,20150316,TAMBUN,'5191,1.840,1.840,1.850,1.820,1.840,292600,No change,0
1426550400000,20150317,TAMBUN,'5191,1.840,1.850,1.920,1.840,1.890,504900,Increased,4
1426636800000,20150318,TAMBUN,'5191,1.890,1.890,1.910,1.820,1.840,402900,Decreased,5
1426723200000,20150319,TAMBUN,'5191,1.840,1.840,1.890,1.840,1.880,290600,Increased,4
1426809600000,20150320,TAMBUN,'5191,1.880,1.880,1.910,1.840,1.840,516800,Decreased,4
1427068800000,20150323,TAMBUN,'5191,1.840,1.840,1.860,1.830,1.840,127400,No change,0
1427155200000,20150324,TAMBUN,'5191,1.840,1.820,1.840,1.820,1.840,373400,Increased,2
1427241600000,20150325,TAMBUN,'5191,1.840,1.830,1.830,1.770,1.800,911100,Decreased,3
1427328000000,20150326,TAMBUN,'5191,1.800,1.800,1.840,1.800,1.830,311400,Increased,3
1427414400000,20150327,TAMBUN,'5191,1.830,1.800,1.840,1.790,1.840,667100,Increased,4
1427673600000,20150330,TAMBUN,'5191,1.840,1.810,1.810,1.780,1.810,175700,No change,0
1427760000000,20150331,TAMBUN,'5191,1.810,1.790,1.800,1.780,1.800,418600,Increased,1
1427846400000,20150401,TAMBUN,'5191,1.800,1.790,1.800,1.780,1.780,67600,Decreased,1
1427932800000,20150402,TAMBUN,'5191,1.780,1.780,1.810,1.780,1.810,256100,Increased,3
1428019200000,20150403,TAMBUN,'5191,1.810,1.800,1.810,1.770,1.810,134000,Increased,1
1428278400000,20150406,TAMBUN,'5191,1.810,1.790,1.790,1.780,1.790,53200,No change,0
1428364800000,20150407,TAMBUN,'5191,1.790,1.790,1.820,1.780,1.800,124300,Increased,1
1428451200000,20150408,TAMBUN,'5191,1.800,1.780,1.810,1.780,1.800,206200,Increased,2
1428537600000,20150409,TAMBUN,'5191,1.800,1.790,1.820,1.780,1.810,285600,Increased,2
1428624000000,20150410,TAMBUN,'5191,1.810,1.820,1.820,1.790,1.800,97700,Decreased,2
1428883200000,20150413,TAMBUN,'5191,1.800,1.780,1.790,1.770,1.770,168100,Decreased,1
1428969600000,20150414,TAMBUN,'5191,1.770,1.770,1.790,1.760,1.790,178100,Increased,2
1429056000000,20150415,TAMBUN,'5191,1.790,1.790,1.790,1.760,1.760,481100,Decreased,3
1429142400000,20150416,TAMBUN,'5191,1.760,1.760,1.790,1.760,1.780,342400,Increased,2
1429228800000,20150417,TAMBUN,'5191,1.780,1.780,1.790,1.770,1.770,134600,Decreased,1
1429488000000,20150420,TAMBUN,'5191,1.770,1.770,1.780,1.770,1.780,254700,Increased,1
1429574400000,20150421,TAMBUN,'5191,1.780,1.780,1.790,1.770,1.790,193000,Increased,1
1429660800000,20150422,TAMBUN,'5191,1.790,1.790,1.800,1.780,1.800,153000,Increased,1
1429747200000,20150423,TAMBUN,'5191,1.800,1.800,1.800,1.790,1.790,143500,Decreased,1
1429833600000,20150424,TAMBUN,'5191,1.790,1.800,1.800,1.780,1.780,150900,Decreased,2
1430092800000,20150427,TAMBUN,'5191,1.780,1.780,1.780,1.770,1.780,47600,No change,0
1430179200000,20150428,TAMBUN,'5191,1.780,1.770,1.770,1.750,1.770,119100,No change,0
1430265600000,20150429,TAMBUN,'5191,1.770,1.780,1.800,1.760,1.770,217700,Decreased,1
1430352000000,20150430,TAMBUN,'5191,1.770,1.800,1.900,1.800,1.880,1813800,Increased,8
1430784000000,20150505,TAMBUN,'5191,1.880,1.890,1.900,1.860,1.860,307700,Decreased,3
1430870400000,20150506,TAMBUN,'5191,1.860,1.860,1.860,1.830,1.830,242600,Decreased,3
1430956800000,20150507,TAMBUN,'5191,1.830,1.820,1.890,1.820,1.880,223400,Increased,6
1431043200000,20150508,TAMBUN,'5191,1.880,1.880,1.890,1.860,1.860,217600,Decreased,2
1431302400000,20150511,TAMBUN,'5191,1.860,1.860,1.860,1.820,1.830,51900,Decreased,3
1431388800000,20150512,TAMBUN,'5191,1.830,1.820,1.860,1.810,1.830,52900,Increased,1
1431475200000,20150513,TAMBUN,'5191,1.830,1.830,1.860,1.830,1.860,77700,Increased,3
1431561600000,20150514,TAMBUN,'5191,1.860,1.830,1.830,1.800,1.800,126900,Decreased,3
1431648000000,20150515,TAMBUN,'5191,1.800,1.800,1.820,1.800,1.820,22000,Increased,2
1431907200000,20150518,TAMBUN,'5191,1.820,1.810,1.830,1.810,1.810,58800,No change,0
1431993600000,20150519,TAMBUN,'5191,1.810,1.800,1.820,1.800,1.810,110100,Increased,1
1432080000000,20150520,TAMBUN,'5191,1.810,1.810,1.850,1.810,1.820,120900,Increased,1
1432166400000,20150521,TAMBUN,'5191,1.820,1.810,1.860,1.800,1.810,193200,No change,0
1432252800000,20150522,TAMBUN,'5191,1.810,1.810,1.820,1.800,1.800,74600,Decreased,1
1432512000000,20150525,TAMBUN,'5191,1.800,1.800,1.800,1.730,1.730,262100,Decreased,7
1432598400000,20150526,TAMBUN,'5191,1.730,1.750,1.790,1.740,1.740,339000,Decreased,1
1432684800000,20150527,TAMBUN,'5191,1.740,1.740,1.750,1.690,1.750,1028900,Increased,1
1432771200000,20150528,TAMBUN,'5191,1.750,1.750,1.750,1.700,1.710,41000,Decreased,4
1432857600000,20150529,TAMBUN,'5191,1.710,1.720,1.730,1.700,1.700,539000,Decreased,2
1433116800000,20150601,TAMBUN,'5191,1.700,1.700,1.720,1.700,1.710,16600,Increased,1
1433203200000,20150602,TAMBUN,'5191,1.710,1.720,1.750,1.710,1.730,117200,Increased,1
1433289600000,20150603,TAMBUN,'5191,1.730,1.740,1.750,1.720,1.740,102200,No change,0
1433376000000,20150604,TAMBUN,'5191,1.740,1.740,1.750,1.720,1.720,72000,Decreased,2
1433462400000,20150605,TAMBUN,'5191,1.720,1.720,1.740,1.720,1.720,52300,No change,0
1433721600000,20150608,TAMBUN,'5191,1.720,1.720,1.750,1.720,1.720,183700,No change,0
1433808000000,20150609,TAMBUN,'5191,1.720,1.720,1.720,1.700,1.700,151500,Decreased,2
1433894400000,20150610,TAMBUN,'5191,1.700,1.700,1.700,1.640,1.650,808300,Decreased,5
1433980800000,20150611,TAMBUN,'5191,1.650,1.660,1.680,1.650,1.650,217800,Decreased,1
1434067200000,20150612,TAMBUN,'5191,1.650,1.650,1.670,1.650,1.660,170000,Increased,1
1434326400000,20150615,TAMBUN,'5191,1.660,1.660,1.670,1.650,1.650,260200,Decreased,1
1434412800000,20150616,TAMBUN,'5191,1.650,1.650,1.670,1.650,1.660,184200,Increased,1
1434499200000,20150617,TAMBUN,'5191,1.660,1.650,1.660,1.650,1.650,84100,No change,0
1434585600000,20150618,TAMBUN,'5191,1.650,1.650,1.680,1.650,1.670,100400,Increased,2
1434672000000,20150619,TAMBUN,'5191,1.670,1.670,1.730,1.670,1.700,85500,Increased,3
1434931200000,20150622,TAMBUN,'5191,1.700,1.700,1.720,1.700,1.710,184100,Increased,1
1435017600000,20150623,TAMBUN,'5191,1.710,1.710,1.730,1.710,1.710,55600,No change,0
1435104000000,20150624,TAMBUN,'5191,1.710,1.700,1.730,1.700,1.720,58100,Increased,2
1435190400000,20150625,TAMBUN,'5191,1.720,1.710,1.720,1.700,1.720,71300,Increased,1
1435276800000,20150626,TAMBUN,'5191,1.720,1.690,1.710,1.690,1.700,32900,Increased,1
1435536000000,20150629,TAMBUN,'5191,1.700,1.700,1.710,1.630,1.650,211600,Decreased,5
1435622400000,20150630,TAMBUN,'5191,1.650,1.630,1.670,1.630,1.660,102900,Increased,3
1435708800000,20150701,TAMBUN,'5191,1.660,1.670,1.710,1.670,1.700,158700,Increased,3
1435795200000,20150702,TAMBUN,'5191,1.700,1.700,1.720,1.700,1.710,26800,Increased,1
1435881600000,20150703,TAMBUN,'5191,1.710,1.680,1.730,1.680,1.710,55700,Increased,3
1436140800000,20150706,TAMBUN,'5191,1.710,1.680,1.700,1.680,1.690,70100,Increased,1
1436227200000,20150707,TAMBUN,'5191,1.690,1.680,1.690,1.660,1.670,113500,Decreased,1
1436313600000,20150708,TAMBUN,'5191,1.670,1.660,1.660,1.640,1.650,237100,Decreased,1
1436400000000,20150709,TAMBUN,'5191,1.650,1.640,1.670,1.640,1.640,262500,No change,0
1436486400000,20150710,TAMBUN,'5191,1.640,1.640,1.660,1.640,1.660,124800,Increased,2
1436745600000,20150713,TAMBUN,'5191,1.660,1.650,1.670,1.650,1.660,125300,Increased,1
1436832000000,20150714,TAMBUN,'5191,1.660,1.670,1.680,1.650,1.660,178100,Decreased,1
1436918400000,20150715,TAMBUN,'5191,1.660,1.660,1.670,1.650,1.660,164500,No change,0
1437004800000,20150716,TAMBUN,'5191,1.660,1.660,1.670,1.660,1.660,46300,No change,0
1437350400000,20150720,TAMBUN,'5191,1.660,1.660,1.680,1.660,1.660,148600,No change,0
1437436800000,20150721,TAMBUN,'5191,1.660,1.660,1.720,1.660,1.700,115100,Increased,4
1437523200000,20150722,TAMBUN,'5191,1.700,1.680,1.710,1.680,1.690,64000,Increased,1
1437609600000,20150723,TAMBUN,'5191,1.690,1.700,1.730,1.700,1.720,487800,Increased,2
1437696000000,20150724,TAMBUN,'5191,1.720,1.700,1.730,1.700,1.710,369900,Increased,1
1437955200000,20150727,TAMBUN,'5191,1.710,1.700,1.710,1.680,1.680,77400,Decreased,2
1438041600000,20150728,TAMBUN,'5191,1.680,1.690,1.690,1.660,1.660,101300,Decreased,3
1438128000000,20150729,TAMBUN,'5191,1.660,1.670,1.680,1.650,1.680,155400,Increased,1
