Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,MINDA,'5166,,0.710,0.720,0.690,0.705,5609700,Decreased,1
1420502400000,20150106,MINDA,'5166,0.705,0.675,0.695,0.670,0.680,5588700,Increased,1
1420588800000,20150107,MINDA,'5166,0.680,0.675,0.705,0.675,0.690,3650900,Increased,3
1420675200000,20150108,MINDA,'5166,0.690,0.700,0.755,0.695,0.735,25175300,Increased,7
1420761600000,20150109,MINDA,'5166,0.735,0.750,0.750,0.695,0.710,15754100,Decreased,8
1421020800000,20150112,MINDA,'5166,0.710,0.710,0.710,0.710,0.710,-,Closed,0
1421107200000,20150113,MINDA,'5166,0.710,0.685,0.740,0.675,0.675,9518600,Decreased,2
1421193600000,20150114,MINDA,'5166,0.675,0.675,0.690,0.650,0.650,6486400,Decreased,5
1421280000000,20150115,MINDA,'5166,0.650,0.650,0.690,0.650,0.690,7527100,Increased,8
1421366400000,20150116,MINDA,'5166,0.690,0.690,0.740,0.690,0.715,14969600,Increased,5
1421625600000,20150119,MINDA,'5166,0.715,0.735,0.735,0.700,0.710,4844200,Decreased,5
1421712000000,20150120,MINDA,'5166,0.710,0.710,0.715,0.695,0.695,3383100,Decreased,3
1421798400000,20150121,MINDA,'5166,0.695,0.695,0.705,0.690,0.695,1792100,No change,0
1421884800000,20150122,MINDA,'5166,0.695,0.695,0.710,0.675,0.680,6940900,Decreased,3
1421971200000,20150123,MINDA,'5166,0.680,0.685,0.690,0.660,0.665,3680800,Decreased,4
1422230400000,20150126,MINDA,'5166,0.665,0.665,0.690,0.665,0.665,3589500,No change,0
1422316800000,20150127,MINDA,'5166,0.665,0.665,0.685,0.660,0.670,4214300,Increased,1
1422403200000,20150128,MINDA,'5166,0.670,0.670,0.680,0.660,0.670,3833100,No change,0
1422489600000,20150129,MINDA,'5166,0.670,0.670,0.675,0.660,0.665,3562200,Decreased,1
1422576000000,20150130,MINDA,'5166,0.665,0.665,0.670,0.655,0.660,2146800,Decreased,1
1423008000000,20150204,MINDA,'5166,0.660,0.645,0.655,0.625,0.635,3832100,Decreased,2
1423094400000,20150205,MINDA,'5166,0.635,0.635,0.635,0.610,0.620,3283800,Decreased,3
1423180800000,20150206,MINDA,'5166,0.620,0.625,0.645,0.620,0.630,5204800,Increased,1
1423440000000,20150209,MINDA,'5166,0.630,0.635,0.645,0.620,0.620,3204500,Decreased,3
1423526400000,20150210,MINDA,'5166,0.620,0.620,0.625,0.610,0.620,3066500,No change,0
1423612800000,20150211,MINDA,'5166,0.620,0.625,0.625,0.605,0.605,1076300,Decreased,4
1423699200000,20150212,MINDA,'5166,0.605,0.610,0.610,0.600,0.605,1997400,Decreased,1
1423785600000,20150213,MINDA,'5166,0.605,0.605,0.625,0.605,0.610,2848200,Increased,1
1424044800000,20150216,MINDA,'5166,0.610,0.610,0.615,0.605,0.610,743000,No change,0
1424131200000,20150217,MINDA,'5166,0.610,0.610,0.635,0.605,0.620,3079000,Increased,2
1424217600000,20150218,MINDA,'5166,0.620,0.620,0.625,0.620,0.620,576000,No change,0
1424649600000,20150223,MINDA,'5166,0.620,0.615,0.630,0.610,0.610,1755500,Decreased,1
1424736000000,20150224,MINDA,'5166,0.610,0.605,0.615,0.605,0.610,1296100,Increased,1
1424822400000,20150225,MINDA,'5166,0.610,0.615,0.630,0.610,0.610,1446000,Decreased,1
1424908800000,20150226,MINDA,'5166,0.610,0.610,0.615,0.605,0.610,1698400,No change,0
1424995200000,20150227,MINDA,'5166,0.610,0.610,0.610,0.600,0.605,2159200,Decreased,1
1425254400000,20150302,MINDA,'5166,0.605,0.605,0.605,0.600,0.600,5807000,Decreased,1
1425340800000,20150303,MINDA,'5166,0.600,0.600,0.605,0.595,0.595,340300,Decreased,1
1425427200000,20150304,MINDA,'5166,0.595,0.600,0.605,0.595,0.605,1126100,Increased,1
1425513600000,20150305,MINDA,'5166,0.605,0.605,0.605,0.595,0.600,1324500,Decreased,1
1425600000000,20150306,MINDA,'5166,0.600,0.600,0.610,0.600,0.600,774900,No change,0
1425859200000,20150309,MINDA,'5166,0.600,0.600,0.600,0.595,0.600,754500,No change,0
1425945600000,20150310,MINDA,'5166,0.600,0.600,0.600,0.595,0.600,226000,No change,0
1426032000000,20150311,MINDA,'5166,0.600,0.595,0.605,0.595,0.600,2444800,Increased,1
1426118400000,20150312,MINDA,'5166,0.600,0.600,0.600,0.595,0.600,369000,No change,0
1426204800000,20150313,MINDA,'5166,0.600,0.600,0.600,0.595,0.600,1120000,No change,0
1426464000000,20150316,MINDA,'5166,0.600,0.595,0.605,0.595,0.605,1114800,Increased,2
1426550400000,20150317,MINDA,'5166,0.605,0.605,0.665,0.605,0.645,13276500,Increased,8
1426636800000,20150318,MINDA,'5166,0.645,0.645,0.655,0.635,0.635,2101700,Decreased,2
1426723200000,20150319,MINDA,'5166,0.635,0.640,0.650,0.640,0.640,1336500,No change,0
1426809600000,20150320,MINDA,'5166,0.640,0.645,0.660,0.640,0.655,4311000,Increased,2
1427068800000,20150323,MINDA,'5166,0.655,0.655,0.655,0.615,0.620,4570300,Decreased,7
1427155200000,20150324,MINDA,'5166,0.620,0.620,0.620,0.600,0.600,3532400,Decreased,4
1427241600000,20150325,MINDA,'5166,0.600,0.600,0.620,0.600,0.615,1078500,Increased,3
1427328000000,20150326,MINDA,'5166,0.615,0.615,0.615,0.600,0.610,1112900,Decreased,1
