Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.010,+0.69,"24,850",50,1.420,1.460,"2,057",1.45,1.440,1.460,1.420,s,05 Nov 2019,05:00PM,1.460,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketGapDown,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,0.005,+0.97,910,200,0.510,0.520,631,0.515,0.510,0.520,0.510,s,05 Nov 2019,05:00PM,0.520,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketGapDown,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.005,+7.69,500,"4,300",0.065,0.070,250,0.065,0.070,0.070,0.070,s,05 Nov 2019,05:00PM,0.070,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketGapUp,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.000,0.00,0,51,0.470,0.485,50,0.485,-,-,-,s,05 Nov 2019,05:00PM,-,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketClosed,0.0,
MAIN MARKET,PROPERTY,'7131,0.025,+10.64,10,200,0.240,0.260,421,0.235,0.260,0.260,0.260,s,05 Nov 2019,05:00PM,0.260,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketGapUp,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-0.010,-2.63,"1,326",1,0.380,0.390,535,0.38,0.385,0.390,0.370,s,05 Nov 2019,05:00PM,0.370,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketGapUp,3.0000000000000027,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,0.000,0.00,"30,775","37,939",0.125,0.130,"8,428",0.125,0.130,0.135,0.125,s,05 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'5281,0.010,+2.35,"4,464","4,651",0.430,0.435,"2,257",0.425,0.425,0.435,0.420,s,05 Nov 2019,05:00PM,0.435,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-0.100,-4.76,20,20,2.010,2.100,140,2.1,2.000,2.000,2.000,s,05 Nov 2019,05:00PM,2.000,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketGapDown,0.0,
MAIN MARKET,HEALTH CARE,'7191,0.000,0.00,0,100,0.510,0.580,112,0.535,-,-,-,s,05 Nov 2019,05:00PM,-,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.000,0.00,"1,180",320,0.110,0.115,"2,005",0.11,0.105,0.110,0.105,s,05 Nov 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,-0.010,-0.62,"2,289",470,1.600,1.610,2,1.62,1.610,1.630,1.600,s,05 Nov 2019,05:00PM,1.610,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,MarketGapDown,0.0,
MAIN MARKET,FINANCIAL SERVICES,'5139,0.040,+0.26,"1,052",9,15.220,15.440,20,15.18,15.140,15.500,15.140,s,05 Nov 2019,05:00PM,15.220,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,MarketGapDown,4.0000000000000036,
MAIN MARKET,FINANCIAL SERVICES,'5185,0.010,+0.52,"3,759",59,1.940,1.950,30,1.93,1.930,1.950,1.930,s,05 Nov 2019,05:00PM,1.940,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,MarketNoChange,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,0.000,0.00,604,998,0.125,0.130,"4,299",0.125,0.120,0.130,0.120,s,05 Nov 2019,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'7078,0.000,0.00,"9,925","1,269",0.385,0.390,909,0.39,0.390,0.390,0.380,s,05 Nov 2019,05:00PM,0.390,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.000,0.00,"49,605","5,712",1.900,1.910,"8,262",1.91,1.920,1.930,1.890,s,05 Nov 2019,05:00PM,1.910,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,-0.005,-2.94,"11,633","132,415",0.165,0.170,"57,197",0.17,0.165,0.170,0.165,s,05 Nov 2019,05:00PM,0.165,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,0.040,+0.25,118,15,15.900,16.100,2,15.9,15.980,16.100,15.920,s,05 Nov 2019,05:00PM,15.940,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658,MarketGapUp,2.000000000000046,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7609,0.000,0.00,200,400,0.415,0.420,450,0.415,0.415,0.415,0.415,s,05 Nov 2019,05:00PM,0.415,AJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609,MarketNoChange,0.0,
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5116,0.000,0.00,103,99,1.470,1.500,247,1.5,1.500,1.500,1.500,s,05 Nov 2019,05:00PM,1.500,AL-`AQAR HEALTHCARE REIT,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116,MarketNoChange,0.0,
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5269,0.005,+0.58,238,10,0.875,0.895,30,0.865,0.870,0.870,0.870,s,05 Nov 2019,05:00PM,0.870,AL-SALAM REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269,MarketGapUp,0.0,
