Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
498,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4707,0.100,+0.07,"1,064",81,144.100,144.300,852,144.2,143.600,144.500,143.000,s,22 Oct 2019,05:00PM,144.300,NESTLE (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4707
499,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7060,0.010,+0.37,223,1,2.700,2.750,77,2.69,2.690,2.700,2.690,s,22 Oct 2019,05:00PM,2.700,NEW HOONG FATT HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7060
500,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7241,0.010,+2.63,"37,493","3,974",0.385,0.390,"4,181",0.38,0.380,0.400,0.380,s,22 Oct 2019,05:00PM,0.390,NEXTGREEN GLOBAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7241
501,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7215,-0.005,-2.94,"16,885","10,705",0.160,0.165,547,0.17,0.170,0.175,0.160,s,22 Oct 2019,05:00PM,0.165,NI HSIN RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7215
502,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7139,0.005,+11.11,"2,591","3,540",0.045,0.050,"11,296",0.045,0.045,0.050,0.040,s,22 Oct 2019,05:00PM,0.050,NICHE CAPITAL EMAS HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7139
503,MAIN MARKET,TECHNOLOGY,'0083,-0.020,-2.60,"23,454",101,0.745,0.750,839,0.77,0.780,0.780,0.740,s,22 Oct 2019,05:00PM,0.750,NOTION VTEC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0083
504,MAIN MARKET,PLANTATION,'5047,-,-,-,30,1.700,1.880,50,1.88,-,-,-,s,22 Oct 2019,05:00PM,-,NPC RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5047
505,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5066,0.015,+2.94,"10,741",596,0.525,0.530,564,0.51,0.515,0.535,0.515,s,22 Oct 2019,05:00PM,0.525,NTPM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5066
506,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5025,-,-,"3,174","2,782",0.090,0.095,454,0.095,0.090,0.095,0.090,s,22 Oct 2019,05:00PM,0.095,NWP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5025
507,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'4944,-0.005,-0.84,"1,061",691,0.585,0.590,17,0.595,0.590,0.595,0.585,s,22 Oct 2019,05:00PM,0.590,NYLEX (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4944
508,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5533,0.005,+1.08,796,48,0.470,0.545,50,0.465,0.450,0.495,0.450,s,22 Oct 2019,05:00PM,0.470,OCB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5533
509,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0049,-0.015,-3.53,715,161,0.410,0.420,37,0.425,0.415,0.425,0.410,s,22 Oct 2019,05:00PM,0.410,OCEANCASH PACIFIC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0049
510,MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'0172,-,-,"105,560","3,226",0.610,0.615,600,0.61,0.615,0.635,0.610,s,22 Oct 2019,05:00PM,0.610,OCK GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0172
511,MAIN MARKET,CONSTRUCTION,'7071,-0.005,-1.79,"24,158","6,049",0.275,0.280,"4,457",0.28,0.285,0.285,0.275,s,22 Oct 2019,05:00PM,0.275,OCR GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7071
512,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7140,-0.010,-1.49,"3,972",50,0.665,0.670,486,0.67,0.670,0.680,0.660,s,22 Oct 2019,05:00PM,0.660,OKA CORPORATION BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7140
513,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3018,-,-,"4,530","9,513",0.100,0.105,"2,985",0.1,0.100,0.105,0.100,s,22 Oct 2019,05:00PM,0.100,OLYMPIA INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3018
514,MAIN MARKET,TECHNOLOGY,'9008,-,-,"5,470",880,0.405,0.420,157,0.42,0.420,0.420,0.405,s,22 Oct 2019,05:00PM,0.420,OMESTI BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9008
515,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5260,0.015,+2.86,"4,104",41,0.540,0.545,18,0.525,0.530,0.545,0.530,s,22 Oct 2019,05:00PM,0.540,ONLY WORLD GROUP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5260
