Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5120,-0.005,-1.03,"6,081",284,0.480,0.485,"1,069",0.485,0.485,0.485,0.480,s,07 Nov 2019,05:00PM,0.480,AMFIRST REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5120
MAIN MARKET,FINANCIAL SERVICES,'1015,0.050,+1.24,"16,514",104,4.070,4.090,15,4.04,4.030,4.090,4.030,s,07 Nov 2019,05:00PM,4.090,AMMB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1015
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'7031,-,-,-,250,0.615,0.910,30,0.615,-,-,-,s,07 Nov 2019,05:00PM,-,AMTEL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7031
MAIN MARKET,PROPERTY,'5959,-,-,"2,510",30,1.060,1.100,120,1.07,1.130,1.130,1.070,s,07 Nov 2019,05:00PM,1.070,AMVERTON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5959
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6351,-,-,719,25,5.910,5.970,10,5.91,5.910,5.970,5.910,s,07 Nov 2019,05:00PM,5.910,AMWAY (MALAYSIA) HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6351
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7083,-,-,-,100,1.080,1.150,"1,000",1.1,-,-,-,s,07 Nov 2019,05:00PM,-,ANALABS RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7083
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'4758,-,-,550,200,0.480,0.490,450,0.49,0.485,0.490,0.485,s,07 Nov 2019,05:00PM,0.490,ANCOM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4758
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'6556,-,-,"2,666",898,1.100,1.110,100,1.1,1.110,1.120,1.100,s,07 Nov 2019,05:00PM,1.100,ANN JOO RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6556
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9342,-,-,"4,635","5,330",0.020,0.025,"121,538",0.02,0.020,0.020,0.020,s,07 Nov 2019,05:00PM,0.020,ANZO HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9342
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5568,-,-,-,50,0.390,0.395,500,0.39,-,-,-,s,07 Nov 2019,05:00PM,-,APB RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5568
MAIN MARKET,FINANCIAL SERVICES,'5088,-,-,-,50,0.810,0.880,51,0.88,-,-,-,s,07 Nov 2019,05:00PM,-,APEX EQUITY HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5088
MAIN MARKET,HEALTH CARE,'7090,0.020,+0.88,347,325,2.260,2.280,44,2.26,2.270,2.280,2.270,s,07 Nov 2019,05:00PM,2.280,APEX HEALTHCARE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7090
