Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-0.040,-2.76,"24,645",25,1.400,1.410,"1,690",1.45,1.450,1.450,1.410,s,31 Oct 2019,05:00PM,1.410,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,800,137,0.495,0.500,42,0.495,0.500,0.500,0.495,s,31 Oct 2019,05:00PM,0.495,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.005,+7.69,30,"2,400",0.065,0.070,"1,220",0.065,0.070,0.070,0.070,s,31 Oct 2019,05:00PM,0.070,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-,-,100,202,0.475,0.490,50,0.49,0.480,0.490,0.480,s,31 Oct 2019,05:00PM,0.490,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,0.030,+12.50,99,75,0.235,0.270,362,0.24,0.230,0.270,0.230,s,31 Oct 2019,05:00PM,0.270,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,"1,385",349,0.370,0.385,966,0.37,0.385,0.385,0.370,s,31 Oct 2019,05:00PM,0.370,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,572,"25,643",0.125,0.130,"15,999",0.125,0.125,0.125,0.125,s,31 Oct 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-,-,"2,723",879,0.420,0.425,500,0.42,0.425,0.425,0.420,s,31 Oct 2019,05:00PM,0.420,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.010,+0.49,200,10,2.060,2.150,100,2.06,2.070,2.070,2.070,s,31 Oct 2019,05:00PM,2.070,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-0.005,-0.99,"1,909",194,0.500,0.540,53,0.505,0.520,0.520,0.500,s,31 Oct 2019,05:00PM,0.500,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
