Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
0,1.400,32,-0.020,-1.39,1.420,'5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,24 Oct 2019,1.440,1.44,1.420,MAIN MARKET,1.430,s,CONSUMER PRODUCTS & SERVICES,1.420,120,05:00PM,"6,030",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
1,0.495,315,-0.005,-1.00,0.495,'7214,A-RANK BERHAD,24 Oct 2019,0.495,0.5,0.495,MAIN MARKET,0.495,s,INDUSTRIAL PRODUCTS & SERVICES,0.505,175,05:00PM,357,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
2,0.065,"1,300",-,-,0.070,'7086,ABLEGROUP BERHAD,24 Oct 2019,0.070,0.07,0.070,MAIN MARKET,0.070,s,INDUSTRIAL PRODUCTS & SERVICES,0.070,100,05:00PM,40,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
3,0.505,50,-0.010,-1.89,0.520,'5198,ABM FUJIYA BERHAD,24 Oct 2019,0.520,0.53,0.520,MAIN MARKET,0.520,s,INDUSTRIAL PRODUCTS & SERVICES,0.520,800,05:00PM,200,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
4,0.210,211,-,-,-,'7131,ACME HOLDINGS BERHAD,24 Oct 2019,-,0.24,-,MAIN MARKET,-,s,PROPERTY,0.270,461,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
5,0.385,39,-,-,0.385,'7120,ACOUSTECH BERHAD,24 Oct 2019,0.395,0.385,0.385,MAIN MARKET,0.385,s,CONSUMER PRODUCTS & SERVICES,0.390,670,05:00PM,"8,901",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
6,0.130,7,-,-,0.130,'1481,ADVANCE SYNERGY BERHAD,24 Oct 2019,0.135,0.13,0.125,MAIN MARKET,0.130,s,CONSUMER PRODUCTS & SERVICES,0.135,"14,440",05:00PM,747,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
7,0.415,396,-0.015,-3.49,0.415,'5281,ADVANCECON HOLDINGS BERHAD,24 Oct 2019,0.430,0.43,0.415,MAIN MARKET,0.430,s,CONSTRUCTION,0.420,605,05:00PM,"10,348",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
8,2.200,23,-,-,2.200,'9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,24 Oct 2019,2.200,2.2,2.190,MAIN MARKET,2.200,s,INDUSTRIAL PRODUCTS & SERVICES,2.240,20,05:00PM,118,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
9,0.530,40,-0.040,-7.02,0.530,'7191,ADVENTA BERHAD,24 Oct 2019,0.530,0.57,0.530,MAIN MARKET,0.530,s,HEALTH CARE,0.570,10,05:00PM,50,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
10,0.100,570,-,-,0.110,'7146,AE MULTI HOLDINGS BERHAD,24 Oct 2019,0.110,0.11,0.110,MAIN MARKET,0.110,s,INDUSTRIAL PRODUCTS & SERVICES,0.110,633,05:00PM,600,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
11,1.640,"1,342",0.010,+0.61,1.640,'6599,AEON CO. (M) BHD,24 Oct 2019,1.650,1.63,1.620,MAIN MARKET,1.620,s,CONSUMER PRODUCTS & SERVICES,1.650,346,05:00PM,"3,355",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
12,15.900,1,0.380,+2.44,15.980,'5139,AEON CREDIT SERVICE (M) BERHAD,24 Oct 2019,15.980,15.6,15.440,MAIN MARKET,15.600,s,FINANCIAL SERVICES,15.980,269,05:00PM,530,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
13,1.920,158,-,-,1.930,'5185,AFFIN BANK BERHAD,24 Oct 2019,1.940,1.93,1.920,MAIN MARKET,1.930,s,FINANCIAL SERVICES,1.930,295,05:00PM,"3,350",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
14,0.125,20,-,-,0.125,'7315,AHB HOLDINGS BERHAD,24 Oct 2019,0.125,0.125,0.125,MAIN MARKET,0.125,s,CONSUMER PRODUCTS & SERVICES,0.130,"3,300",05:00PM,"2,050",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
15,0.365,124,-0.005,-1.35,0.365,'7078,AHMAD ZAKI RESOURCES BERHAD,24 Oct 2019,0.380,0.37,0.365,MAIN MARKET,0.375,s,CONSTRUCTION,0.370,"1,181",05:00PM,"8,157",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
16,1.890,30,0.040,+2.15,1.900,'5099,AIRASIA GROUP BERHAD,24 Oct 2019,1.900,1.86,1.830,MAIN MARKET,1.870,s,CONSUMER PRODUCTS & SERVICES,1.900,"8,458",05:00PM,"54,866",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
17,0.170,"102,782",-,-,0.175,'5238,AIRASIA X BERHAD,24 Oct 2019,0.175,0.175,0.170,MAIN MARKET,0.175,s,CONSUMER PRODUCTS & SERVICES,0.175,"28,503",05:00PM,"16,446",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
18,15.600,17,0.020,+0.13,15.600,'2658,AJINOMOTO (MALAYSIA) BERHAD,24 Oct 2019,15.860,15.58,15.580,MAIN MARKET,15.860,s,CONSUMER PRODUCTS & SERVICES,15.840,10,05:00PM,105,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
