Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
0,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-,-,"9,166",150,1.45,1.46,723,1.46,1.45,1.47,1.44,s,18-Oct-19,05:00PM,1.46,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
1,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-0.01,-1.96,219,140,0.5,0.51,298,0.51,0.5,0.5,0.5,s,18-Oct-19,05:00PM,0.5,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
2,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,-,"12,331",0.06,0.07,"1,964",0.07,-,-,-,s,18-Oct-19,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
3,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-0.02,-3.64,549,51,0.52,0.54,200,0.55,0.52,0.545,0.52,s,18-Oct-19,05:00PM,0.53,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
4,MAIN MARKET,PROPERTY,'7131,-,-,-,201,0.21,0.28,70,0.24,-,-,-,s,18-Oct-19,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
5,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-0.005,-1.25,"3,340",151,0.395,0.4,"4,534",0.4,0.39,0.395,0.39,s,18-Oct-19,05:00PM,0.395,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
6,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"4,171",28,0.13,0.135,"14,364",0.13,0.13,0.13,0.125,s,18-Oct-19,05:00PM,0.13,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
7,MAIN MARKET,CONSTRUCTION,'5281,-,-,"8,494","1,525",0.44,0.445,"4,831",0.445,0.445,0.445,0.44,s,18-Oct-19,05:00PM,0.445,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
8,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-0.07,-3.18,218,28,2.13,2.21,16,2.2,2.13,2.23,2.13,s,18-Oct-19,05:00PM,2.13,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
9,MAIN MARKET,HEALTH CARE,'7191,-0.005,-0.95,60,39,0.52,0.57,50,0.525,0.52,0.52,0.52,s,18-Oct-19,05:00PM,0.52,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
10,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.015,15.79,690,400,0.1,0.105,146,0.095,0.1,0.11,0.1,s,18-Oct-19,05:00PM,0.11,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
11,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.04,2.55,"17,490","1,791",1.61,1.62,54,1.57,1.58,1.63,1.58,s,18-Oct-19,05:00PM,1.61,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
12,MAIN MARKET,FINANCIAL SERVICES,'5139,0.8,5.13,"4,787",10,15.7,16.4,"1,897",15.6,15.5,16.4,15.5,s,18-Oct-19,05:00PM,16.4,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
13,MAIN MARKET,FINANCIAL SERVICES,'5185,-0.01,-0.51,488,40,1.94,1.95,117,1.96,1.96,1.96,1.93,s,18-Oct-19,05:00PM,1.95,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
14,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-,-,442,658,0.125,0.13,"1,684",0.125,0.125,0.125,0.125,s,18-Oct-19,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
15,MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.37,"4,312",241,0.355,0.36,150,0.365,0.365,0.365,0.355,s,18-Oct-19,05:00PM,0.36,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
16,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.02,1.06,"74,403",332,1.89,1.91,"2,599",1.89,1.88,1.91,1.87,s,18-Oct-19,05:00PM,1.91,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
17,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,-0.005,-3.03,"38,778","134,964",0.16,0.165,"9,751",0.165,0.165,0.165,0.16,s,18-Oct-19,05:00PM,0.16,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
